|dir_project          |first                  |last                   |
|---------------------|-----------------------|-----------------------|
|a-e1210009           |2010-06-22 10:43:44.000|2019-05-14 12:43:20.000|
|a-e1214012-raw       |2017-02-16 10:19:47.000|2017-09-28 07:33:24.000|
|a-e1216001-raw       |2018-02-15 15:30:30.000|2024-12-12 12:55:15.000|
|a-dvcs-raw           |2004-08-16 19:32:32.000|2019-11-19 11:09:41.000|
|c-e1213010              |2023-07-16 19:32:32.000|2024-03-19 11:09:41.000|
|c-e1222006              |2023-07-16 19:32:32.000|2024-03-19 11:09:41.000|
|a-e08025             |2010-10-04 19:32:32.000|2010-12-23 11:09:41.000|
|a-e07007             |2010-10-04 19:32:32.000|2010-12-23 11:09:41.000|
|a-e03106             |2004-11-08 19:32:32.000|2004-12-05 11:09:41.000|
|a-e00110             |2004-09-24 19:32:32.000|2004-11-07 11:09:41.000|
|a-e00007             |2002-09-11 14:23:41.000|2002-12-05 15:53:16.000|
|a-e00102             |2001-10-01 14:22:07.000|2004-03-11 15:43:37.000|
|a-e01001             |2002-04-23 23:50:47.000|2002-09-09 14:32:05.000|
|a-e01012             |2002-12-10 14:32:32.000|2003-09-05 14:21:38.000|
|a-e01015-raw         |2004-12-13 23:53:12.000|2006-06-20 11:02:07.000|
|a-e01020             |2002-06-02 01:22:13.000|2003-05-27 11:43:10.000|
|a-e02013             |2003-01-06 11:03:35.000|2007-08-08 15:25:43.000|
|a-e03101-raw         |2007-06-08 15:21:04.000|2007-08-07 10:39:17.000|
|a-e04007-raw         |2008-03-04 13:21:01.000|2008-08-25 10:31:15.000|
|a-e04012             |2004-05-19 19:31:55.000|2004-12-09 13:33:44.000|
|a-e05015-raw         |2009-08-17 17:12:01.000|2009-08-17 17:12:03.000|
|a-e05102-raw         |2009-03-28 17:05:42.000|2010-06-21 13:38:46.000|
|a-e05110-raw         |2007-08-07 19:30:52.000|2010-06-21 15:17:45.000|
|a-e06007-raw         |2007-02-22 19:31:14.000|2009-08-17 17:19:15.000|
|a-e06010-raw         |2008-08-14 13:11:00.000|2010-01-06 14:39:27.000|
|a-e06014-raw         |2009-02-05 19:35:48.000|2009-08-07 13:55:43.000|
|a-e07006-raw         |2010-11-08 14:06:29.000|2011-08-05 11:09:27.000|
|a-e08007-raw         |2008-05-08 16:20:54.000|2010-01-06 12:11:02.000|
|a-e89044             |1999-11-22 00:00:00.000|2005-05-25 19:58:25.000|
|a-e93027             |1998-05-15 00:00:00.000|1999-03-24 00:00:00.000|
|a-e93049             |2000-04-03 00:00:00.000|2001-04-09 00:00:00.000|
|a-e93050             |1997-12-29 00:00:00.000|1998-05-27 00:00:00.000|
|a-e94010raw          |1998-09-02 00:00:00.000|1999-08-12 00:00:00.000|
|a-e94104             |2000-12-29 00:00:00.000|2001-09-24 17:15:16.000|
|a-e94107             |2003-12-02 14:21:40.000|2007-08-08 15:36:26.000|
|a-e95001             |1999-01-16 00:00:00.000|1999-11-01 00:00:00.000|
|a-e97103             |2001-08-01 12:31:49.000|2002-09-09 12:12:31.000|
|a-e97111             |2000-09-26 00:00:00.000|2001-09-24 17:12:24.000|
|a-e98108             |2001-03-12 00:00:00.000|2002-12-03 13:13:30.000|
|a-e99007             |2000-10-31 00:00:00.000|2000-12-29 00:00:00.000|
|a-e99114             |2001-12-18 08:22:23.000|2003-09-05 11:11:22.000|
|a-e99117             |2001-05-31 15:57:28.000|2002-05-07 16:35:03.000|
|a-e05110-raw         |2011-08-04 15:13:37.000|2014-03-10 09:38:19.000|
|a-gam99              |1999-07-05 00:00:00.000|1999-11-26 00:00:00.000|
|a-e97110             |2003-04-29 21:35:34.000|2003-08-29 12:53:32.000|
|a-e1207108-raw       |2014-02-21 14:08:04.000|2019-11-20 10:50:41.000|
|a-e91011             |2000-05-16 00:00:00.000|2004-03-30 13:49:44.000|
|a-parity             |1997-04-05 00:00:00.000|2024-07-25 21:52:57.000|
|a-e1212004           |2019-12-05 00:00:00.000|2020-03-25 21:52:57.000|
|a-e1211101           |2019-06-05 00:00:00.000|2019-08-25 21:52:57.000|
|a-e06002             |2010-03-25 00:00:00.000|2010-06-20 21:52:57.000|
|a-e05109             |2009-08-05 00:00:00.000|2009-10-25 21:52:57.000|
|a-e99115             |2004-06-23 00:00:00.000|2005-11-22 21:52:57.000|
|a-e91010             |1998-04-17 00:00:00.000|1999-07-30 21:52:57.000|
|a-e00114             |2004-06-08 00:00:00.000|2005-09-28 21:52:57.000|
|a-e08011             |2009-11-06 00:00:00.000|2009-12-23 21:52:57.000|
|a-sbs-raw            |2021-08-28 14:48:39.000|2022-10-04 15:09:45.000|
|a-triton-raw         |2017-07-25 17:03:38.000|2019-05-14 16:04:07.000|
|b-dvcs2-raw          |2008-10-27 02:18:24.000|2009-01-28 01:33:07.000|
|b-e1                 |1997-06-09 00:00:00.000|1997-12-06 00:00:00.000|
|b-e1b                |1998-02-10 00:00:00.000|1998-07-28 00:00:00.000|
|b-e1c                |1999-01-20 00:00:00.000|1999-04-13 00:00:00.000|
|b-e1draw             |2000-02-02 00:00:00.000|2000-04-04 00:00:00.000|
|b-e2                |1999-04-15 00:00:00.000|1999-05-28 00:00:00.000|
|b-e5            |2000-04-08 00:00:00.000|2000-06-19 00:00:00.000|
|b-e94016             |1998-04-17 00:00:00.000|2000-08-01 00:00:00.000|
|b-eg1raw            |1998-09-22 00:00:00.000|1999-01-13 00:00:00.000|
|b-eg1braw            |2000-09-05 00:00:00.000|2001-04-25 00:00:00.000|
|b-eg1dvcs-raw        |2009-02-08 00:41:42.000|2009-09-23 02:39:17.000|
|b-eg6-raw            |2009-10-05 19:36:25.000|2010-03-10 14:27:28.000|
|b-g14-raw           |2011-03-28 02:03:43.000|2011-05-22 19:21:40.000|
|b-g14b-raw           |2011-11-21 15:31:14.000|2012-08-07 10:51:08.000|
|b-g1raw             |1998-07-13 00:00:00.000|1998-09-20 00:00:00.000|
|b-g1craw             |1999-09-28 00:00:00.000|2002-08-16 17:31:57.000|
|b-g2raw             |1999-08-11 00:00:00.000|1999-09-28 00:00:00.000|
|b-g3raw             |1999-11-30 00:00:00.000|2000-01-27 00:00:00.000|
|b-g6raw             |1998-06-11 00:00:00.000|1998-07-12 00:00:00.000|
|b-g6braw             |1999-07-09 00:00:00.000|1999-08-10 00:00:00.000|
|b-g9frost-raw        |2010-03-14 15:05:35.000|2010-09-27 18:36:17.000|
|b-hps-physrun2019-raw|2019-06-14 15:48:42.000|2019-12-02 10:56:35.000|
|b-hps-raw            |2012-04-29 20:35:45.000|2019-04-29 13:13:41.000|
|b-e1211106-raw           |2016-05-24 13:26:35.000|2016-06-23 02:27:18.000|
|b-primex             |2002-07-11 09:07:44.000|2009-06-07 19:11:26.000|
|b-primex2-raw        |2010-10-02 23:45:45.000|2010-11-11 12:03:44.000|
|b-primexraw          |1999-11-07 00:00:00.000|2004-11-24 09:32:51.000|
|b-rd                 |2017-02-07 15:19:50.000|2017-02-08 12:14:36.000|
|b-tpe-raw            |2010-12-04 04:03:24.000|2011-03-25 18:04:53.000|
|b-e8-raw            |2005-06-20 10:16:10.000|2006-01-09 12:29:12.000|
|c-alphaE-raw         |2019-07-20 09:27:04.000|2019-10-10 10:59:37.000|
|c-e1216004           |2022-09-10 11:02:44.000|2022-09-29 09:59:12.000|
|c-e1210003           |2018-04-20 09:06:16.000|2023-03-21 10:56:27.000|
|c-e89009             |2000-02-27 00:00:00.000|2000-10-10 00:00:00.000|
|c-e91016             |1996-08-25 00:00:00.000|2001-12-16 15:25:15.000|
